key,name,ra,dec,distance_modulus,rhalf,ellipticity,distance,rhalf_sph_physical,M_V,ref_structure,ref_distance,ref_m_v,distance_gc,abbrev,Survey,delve_census,dwarf_class,M_V_err,rhalf_sph_physical_err,distance_err
grus_2,Grus II,331.025,-46.442,18.71,5.9,,55.20774392807573,94.36405313184532,-3.5,Simon2020ApJ...892..137S,MartinezVazquez2019MNRAS.490.2183M,Simon2020ApJ...892..137S,50.6716462820894,GruII,DES,True,D,0.3,9.071035986482414,2.543309299144827
hercules_1,Hercules,247.7722,12.7852,20.58,5.63,0.69,130.61708881318404,118.55219968459514,-5.806999999999999,Munoz2018ApJ...860...66M,MutluPakdil2020ApJ...902..106M,Munoz2018ApJ...860...66M,125.05221555014646,Her,PS1,True,D,0.17,12.407277297782102,6.017265567645445
horologium_1,Horologium I,43.8755,-54.1174,19.5,1.61,0.27,79.43282347242821,31.666456029712947,-3.379999999999999,Richstein2024ApJ...967...72R,Koposov2015ApJ...805..130K,Richstein2024ApJ...967...72R,79.73376213493069,HorI,DES,True,D,0.075,3.119567023254346,3.659309803674361
horologium_2,Horologium II,49.131,-50.009,19.46,1.69,0.23,77.98301105232593,33.33394389052437,-2.0700000000000003,Richstein2024ApJ...967...72R,Kim2015ApJ...808L..39K,Richstein2024ApJ...967...72R,79.02335924943787,HorII,DES,True,PD,0.1,4.962175701995099,7.192659961567728
hydra_2,Hydra II,185.4286,-31.9728,20.9,1.52,0.24,151.35612484362073,56.72928303864914,-5.099999999999998,Munoz2018ApJ...860...66M,Vivas2016AJ....151..118V,Richstein2024ApJ...967...72R,148.52094110303622,HyaII,DELVE,True,D,0.165,12.208712542674917,7.670507439766311
hydrus_1,Hydrus I,37.389,-79.3089,17.2,7.42,0.21,27.54228703338164,52.42136286715979,-4.709999999999999,Koposov2018MNRAS.479.5343K,Koposov2018MNRAS.479.5343K,Koposov2018MNRAS.479.5343K,25.68023141421986,HyiI,DELVE,True,D,0.08,5.444145212467952,0.5073763692143203
leo_1,Leo I,152.1146,12.3059,22.06,3.65,0.3,258.22601906345955,229.09598177545007,-11.82,Munoz2018ApJ...860...66M,Stetson2014PASP..126..616S,Munoz2018ApJ...860...66M,262.02022283862243,LeoI,PS1,True,D,0.28,18.648887227304957,9.515550326831772
leo_2,Leo II,168.3627,22.1529,21.84,2.52,0.07,233.34580622810043,164.9465807259562,-9.72,Munoz2018ApJ...860...66M,Bellazzini2005MNRAS.360..185B,Munoz2018ApJ...860...66M,235.87629515326324,LeoII,DELVE,True,D,0.04,10.233783545212065,13.978109242422931
leo_4,Leo IV,173.2405,-0.5453,20.9,2.54,0.17,151.35612484362073,101.11062666584104,-4.949999999999999,Munoz2018ApJ...860...66M,Medina2018ApJ...855...43M,Munoz2018ApJ...860...66M,151.92794354731902,LeoIV,DELVE,True,D,0.26,12.150556158768175,4.182656458617615
leo_5,Leo V,172.7857,2.2194,21.14,1.0,0.43,169.04409316432634,35.20398090334638,-4.400000000000002,Munoz2018ApJ...860...66M,Medina2018ApJ...855...43M,Munoz2018ApJ...860...66M,169.83791225276684,LeoV,DELVE,True,D,0.36,13.695811198401197,4.671455276722185
leo_6,Leo VI,171.077,24.874,20.23,4.17,0.54,111.1731727281592,86.83497858762573,-3.5599999999999987,Tan2025ApJ...979..176T,Tan2025ApJ...979..176T,Tan2025ApJ...979..176T,113.69304630304198,LeoVI,DELVE,False,D,0.42,35.719073457693895,4.809587383683024
leo_minor_1,Leo Minor I,164.261,28.875,19.56,1.09,,81.65823713585922,25.506327706684267,-2.3999999999999986,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,85.19274192108325,LMiI,DELVE,False,PD,0.45,8.642942695188404,5.542201049712034
